source_type,symbol,address,section,symbol_type,size,scope,data_type,owner_source_path,owner_section,evidence_ref,source_origin
data_symbol,gTRKInterruptVectorTable,0x80003298,.init,label,,global,,src/MetroTRK/targimpl.c,.init,/Users/Ford/Github Repos/oss/gamecube-decomp-harness/projects/melee/state/epoch_worktree/config/GALE01/symbols.txt#line=6,symbols_txt
data_symbol,gTRKInterruptVectorTableEnd,0x800051CC,.init,label,,global,,src/MetroTRK/dolphin_trk.c,.init,/Users/Ford/Github Repos/oss/gamecube-decomp-harness/projects/melee/state/epoch_worktree/config/GALE01/symbols.txt#line=7,symbols_txt
data_symbol,_rom_copy_info,0x80005470,.init,object,0x84,global,4byte,,,/Users/Ford/Github Repos/oss/gamecube-decomp-harness/projects/melee/state/epoch_worktree/config/GALE01/symbols.txt#line=15,symbols_txt
data_symbol,_bss_init_info,0x800054F4,.init,object,0x18,global,4byte,,,/Users/Ford/Github Repos/oss/gamecube-decomp-harness/projects/melee/state/epoch_worktree/config/GALE01/symbols.txt#line=16,symbols_txt
data_symbol,@etb_80005520,0x80005520,extab,object,0x8,local,,src/sysdolphin/baselib/particle.c,extab,/Users/Ford/Github Repos/oss/gamecube-decomp-harness/projects/melee/state/epoch_worktree/config/GALE01/symbols.txt#line=17,symbols_txt
data_symbol,@etb_80005528,0x80005528,extab,object,0x8,local,,src/sysdolphin/baselib/particle.c,extab,/Users/Ford/Github Repos/oss/gamecube-decomp-harness/projects/melee/state/epoch_worktree/config/GALE01/symbols.txt#line=18,symbols_txt
data_symbol,@etb_80005530,0x80005530,extab,object,0x8,local,,src/sysdolphin/baselib/particle.c,extab,/Users/Ford/Github Repos/oss/gamecube-decomp-harness/projects/melee/state/epoch_worktree/config/GALE01/symbols.txt#line=19,symbols_txt
data_symbol,@etb_80005538,0x80005538,extab,object,0x8,local,,src/sysdolphin/baselib/particle.c,extab,/Users/Ford/Github Repos/oss/gamecube-decomp-harness/projects/melee/state/epoch_worktree/config/GALE01/symbols.txt#line=20,symbols_txt
data_symbol,@etb_80005540,0x80005540,extab,object,0x8,local,,src/sysdolphin/baselib/particle.c,extab,/Users/Ford/Github Repos/oss/gamecube-decomp-harness/projects/melee/state/epoch_worktree/config/GALE01/symbols.txt#line=21,symbols_txt
data_symbol,@etb_80005548,0x80005548,extab,object,0x8,local,,src/sysdolphin/baselib/particle.c,extab,/Users/Ford/Github Repos/oss/gamecube-decomp-harness/projects/melee/state/epoch_worktree/config/GALE01/symbols.txt#line=22,symbols_txt
data_symbol,@etb_80005550,0x80005550,extab,object,0x8,local,,src/sysdolphin/baselib/particle.c,extab,/Users/Ford/Github Repos/oss/gamecube-decomp-harness/projects/melee/state/epoch_worktree/config/GALE01/symbols.txt#line=23,symbols_txt
data_symbol,@etb_80005558,0x80005558,extab,object,0x8,local,,src/sysdolphin/baselib/particle.c,extab,/Users/Ford/Github Repos/oss/gamecube-decomp-harness/projects/melee/state/epoch_worktree/config/GALE01/symbols.txt#line=24,symbols_txt
data_symbol,@etb_80005560,0x80005560,extab,object,0x8,local,,src/sysdolphin/baselib/particle.c,extab,/Users/Ford/Github Repos/oss/gamecube-decomp-harness/projects/melee/state/epoch_worktree/config/GALE01/symbols.txt#line=25,symbols_txt
data_symbol,@etb_80005568,0x80005568,extab,object,0x8,local,,src/sysdolphin/baselib/particle.c,extab,/Users/Ford/Github Repos/oss/gamecube-decomp-harness/projects/melee/state/epoch_worktree/config/GALE01/symbols.txt#line=26,symbols_txt
