unit,symbol,source_path,size,fuzzy,gap,priority,db_statuses,run_target_rows,lease_count,worker_session_count,ever_leased_or_event
main/melee/gr/grcorneria,grCorneria_801E1BF0,src/melee/gr/grcorneria.c,1312,99.98171,0.01829,370677.5450,queued:2,2,0,0,False
main/melee/ty/tyfigupon,un_80317A60,src/melee/ty/tyfigupon.c,800,99.97000,0.03000,159808.0864,no_db_target,0,0,0,False
main/melee/ft/chara/ftYoshi/ftYs_SpecialS,ftYs_SpecialAirSLoop_2_Coll,src/melee/ft/chara/ftYoshi/ftYs_SpecialS.c,1244,99.92926,0.07074,122911.4403,no_db_target,0,0,0,False
main/melee/lb/lb_00F9,fn_80013614,src/melee/lb/lb_00F9.c,664,99.95180,0.04820,91103.4784,queued:1,1,0,0,False
main/melee/ty/toy,un_803087F4,src/melee/ty/toy.c,1492,99.86595,0.13405,82416.7146,queued:1,1,0,0,False
main/melee/it/items/itlinkhookshot,it_802A7B34,src/melee/it/items/itlinkhookshot.c,524,99.95420,0.04580,74987.9127,stalled:1,1,1,0,True
main/melee/ft/ftmaterial,ftMaterial_800BF6BC,src/melee/ft/ftmaterial.c,1168,99.86301,0.13699,63223.0636,no_db_target,0,0,0,False
main/melee/vi/vi1201v2,un_80320A40_OnEnter,src/melee/vi/vi1201v2.c,1708,99.62060,0.37940,34560.8315,stalled:1,1,1,0,True
main/melee/mn/mndiagram,mnDiagram_802437E8,src/melee/mn/mndiagram.c,596,99.82550,0.17450,25662.9072,queued:2,2,0,0,False
main/melee/ef/efsync,efSync_Spawn,src/melee/ef/efsync.c,8084,98.80405,1.19595,25553.9177,no_db_target,0,0,0,False
main/melee/gr/grkongo,grKongo_801D6668,src/melee/gr/grkongo.c,836,99.71292,0.28708,22255.0506,stalled:1,1,1,0,True
main/melee/mn/mnitemsw,mnItemSw_8023453C,src/melee/mn/mnitemsw.c,1768,99.38236,0.61764,21983.4226,no_db_target,0,0,0,False
main/melee/ft/chara/ftCommon/ftCo_WarpStar,ftCo_800C4724,src/melee/ft/chara/ftCommon/ftCo_WarpStar.c,308,99.87013,0.12987,17525.0227,no_db_target,0,0,0,False
main/melee/ty/toy,un_80310324,src/melee/ty/toy.c,828,99.27536,0.72464,8758.1350,queued:1,1,0,0,False
main/melee/gm/gmtou,fn_8019D1BC,src/melee/gm/gmtou.c,2980,98.71410,1.28590,8734.1393,queued:1,1,0,0,False
main/melee/gm/gm_16F1,gm_80173754,src/melee/gm/gm_16F1.c,132,99.87878,0.12122,8008.8491,stalled:1,1,1,0,True
main/sysdolphin/baselib/particle,hsd_80396A20,src/sysdolphin/baselib/particle.c,600,99.30000,0.70000,6573.2460,stalled:1,1,1,0,True
main/melee/ty/tyfigupon,fn_80316170,src/melee/ty/tyfigupon.c,540,99.36296,0.63704,6508.0473,queued:1,1,0,0,False
main/melee/gm/gmtou,gm_8019ECAC_OnEnter,src/melee/gm/gmtou.c,424,99.40566,0.59434,5480.4845,no_db_target,0,0,0,False
main/melee/mp/mpcoll,mpColl_80046904,src/melee/mp/mpcoll.c,1652,98.49395,1.50605,4101.9912,no_db_target,0,0,0,False
main/melee/gm/gm_19EF,fn_8019F9C4,src/melee/gm/gm_19EF.c,4172,97.95973,2.04027,3747.6028,no_db_target,0,0,0,False
main/melee/mn/mnitemsw,mnItemSw_802351A0,src/melee/mn/mnitemsw.c,1824,98.17982,1.82018,3704.0874,no_db_target,0,0,0,False
main/melee/lb/lbmemory,lbMemory_80014FC8,src/melee/lb/lbmemory.c,296,99.32433,0.67567,3361.1394,stalled:1,1,1,0,True
main/melee/it/items/itarwinglaser,it_802E7654,src/melee/it/items/itarwinglaser.c,884,98.95475,1.04525,3212.9464,queued:1,1,0,0,False
main/melee/mn/mndiagram,mnDiagram_802427B4,src/melee/mn/mndiagram.c,900,98.84444,1.15556,2948.3457,queued:2,2,0,0,False
main/melee/ft/chara/ftYoshi/ftYs_SpecialS,ftYs_SpecialAirSLanding_Anim,src/melee/ft/chara/ftYoshi/ftYs_SpecialS.c,916,98.68122,1.31878,2614.8117,no_db_target,0,0,0,False
main/melee/gr/grinishie1,fn_801FBEB8,src/melee/gr/grinishie1.c,180,99.31111,0.68889,2004.2182,no_db_target,0,0,0,False
main/melee/ty/toy,un_80310B48,src/melee/ty/toy.c,2464,97.68831,2.31169,1933.0223,no_db_target,0,0,0,False
main/melee/mn/mnitemsw,fn_80234C24,src/melee/mn/mnitemsw.c,1020,98.03921,1.96079,1912.5827,no_db_target,0,0,0,False
main/sysdolphin/baselib/hsd_3B34,hsd_803B4A2C,src/sysdolphin/baselib/hsd_3B34.c,824,98.30097,1.69903,1800.8135,no_db_target,0,0,0,False
main/melee/gr/grpstadium,grStadium_801D435C,src/melee/gr/grpstadium.c,492,98.80488,1.19512,1556.3540,queued:1,1,0,0,False
main/melee/ft/chara/ftCommon/ftCo_09F7,ftCo_8009F834,src/melee/ft/chara/ftCommon/ftCo_09F7.c,2148,97.29609,2.70391,1418.5687,no_db_target,0,0,0,False
main/melee/ty/toy,un_803075E8,src/melee/ty/toy.c,576,98.47222,1.52778,1408.7800,no_db_target,0,0,0,False
main/melee/ty/toy,un_80307F64,src/melee/ty/toy.c,472,98.64407,1.35593,1308.7483,no_db_target,0,0,0,False
main/melee/gr/grcorneria,grCorneria_801DDAC4,src/melee/gr/grcorneria.c,548,98.35767,1.64233,1241.5825,queued:1,1,0,0,False
main/melee/gm/gm_19EF,fn_8019EFC4,src/melee/gm/gm_19EF.c,524,98.38168,1.61832,1205.8890,no_db_target,0,0,0,False
main/melee/mn/mnsound,mnSound_802492CC,src/melee/mn/mnsound.c,1872,96.99573,3.00427,1099.4213,no_db_target,0,0,0,False
main/melee/gm/gmtou,gm_8019DF8C_OnFrame,src/melee/gm/gmtou.c,1704,97.13615,2.86385,1055.7450,no_db_target,0,0,0,False
main/melee/ty/tyfigupon,un_80316420,src/melee/ty/tyfigupon.c,1212,97.55115,2.44885,892.7526,no_db_target,0,0,0,False
main/melee/ty/tyfigupon,fn_80316C24,src/melee/ty/tyfigupon.c,2328,95.55842,4.44158,872.1168,no_db_target,0,0,0,False
main/sysdolphin/baselib/texpdag,SimplifySrc,src/sysdolphin/baselib/texpdag.c,1036,97.72587,2.27413,827.3840,no_db_target,0,0,0,False
main/melee/gr/grshrineroute,grShrineRoute_80209BEC,src/melee/gr/grshrineroute.c,1300,97.05846,2.94154,781.7339,queued:1,1,0,0,False
main/melee/gr/grcorneria,grCorneria_801E1878,src/melee/gr/grcorneria.c,248,98.77419,1.22581,764.0713,no_db_target,0,0,0,False
main/melee/mn/mnsound,mnSound_80249C08,src/melee/mn/mnsound.c,1172,97.25938,2.74062,762.5243,no_db_target,0,0,0,False
main/melee/ty/toy,fn_80309404,src/melee/ty/toy.c,8492,92.01978,7.98022,762.0369,no_db_target,0,0,0,False
main/melee/mn/mndatadel,fn_8024FD40,src/melee/mn/mndatadel.c,268,98.50746,1.49254,671.8081,queued:1,1,0,0,False
main/melee/gr/grcorneria,grCorneria_801DE024,src/melee/gr/grcorneria.c,1176,96.72449,3.27551,626.5855,no_db_target,0,0,0,False
main/melee/gr/grcorneria,grCorneria_801E03C8,src/melee/gr/grcorneria.c,688,97.97675,2.02325,623.6183,no_db_target,0,0,0,False
main/melee/gr/grshrineroute,fn_80208A38,src/melee/gr/grshrineroute.c,732,97.84153,2.15847,618.7007,no_db_target,0,0,0,False
main/melee/gr/granime,grAnime_801C7228,src/melee/gr/granime.c,772,97.72021,2.27979,614.8784,queued:1,1,0,0,False
main/melee/ty/toy,un_8030FE48,src/melee/ty/toy.c,1148,96.73868,3.26132,614.6806,no_db_target,0,0,0,False
main/sysdolphin/baselib/hsd_3B34,hsd_803B46D4,src/sysdolphin/baselib/hsd_3B34.c,856,97.35981,2.64019,580.4243,no_db_target,0,0,0,False
main/sysdolphin/baselib/leak,HSD_Leak_80387DF8,src/sysdolphin/baselib/leak.c,868,97.30415,2.69585,575.1363,no_db_target,0,0,0,False
main/sysdolphin/baselib/hsd_3A94,hsd_803A949C,src/sysdolphin/baselib/hsd_3A94.c,4852,93.39983,6.60017,558.5892,no_db_target,0,0,0,False
main/melee/ty/toy,un_803078E4,src/melee/ty/toy.c,700,97.71429,2.28571,555.9597,no_db_target,0,0,0,False
main/melee/ft/chara/ftYoshi/ftYs_SpecialS,ftYs_SpecialAirSLoop_1_Anim,src/melee/ft/chara/ftYoshi/ftYs_SpecialS.c,1328,95.86446,4.13554,541.0993,no_db_target,0,0,0,False
main/melee/gm/gm_1A3F,gm_801A4014,src/melee/gm/gm_1A3F.c,616,97.85714,2.14286,524.7652,no_db_target,0,0,0,False
main/melee/ty/toy,fn_8030B530,src/melee/ty/toy.c,11232,87.04166,12.95834,497.1433,no_db_target,0,0,0,False
main/melee/gm/gm_16AE,fn_8016E2BC,src/melee/gm/gm_16AE.c,772,97.19171,2.80829,488.8533,queued:1,1,0,0,False
main/sysdolphin/baselib/hsd_3B34,fn_803B376C,src/sysdolphin/baselib/hsd_3B34.c,1388,95.30836,4.69164,487.1852,no_db_target,0,0,0,False
main/melee/it/items/itlinkhookshot,it_802A5AE0,src/melee/it/items/itlinkhookshot.c,840,96.95715,3.04285,486.3205,queued:1,1,0,0,False
